Price,Timestamp,Instance Type,OS,Region
0.0669,1397731990,c3.2xlarge,Linux/UNIX,us-east-1d
0.0668,1397731146,c3.2xlarge,Linux/UNIX,us-east-1d
0.0669,1397729155,c3.2xlarge,Linux/UNIX,us-east-1d
0.067,1397728859,c3.2xlarge,Linux/UNIX,us-east-1d
0.0669,1397728569,c3.2xlarge,Linux/UNIX,us-east-1d
0.0671,1397728290,c3.2xlarge,Linux/UNIX,us-east-1d
0.067,1397727463,c3.2xlarge,Linux/UNIX,us-east-1d
0.0671,1397727179,c3.2xlarge,Linux/UNIX,us-east-1d
0.0672,1397726905,c3.2xlarge,Linux/UNIX,us-east-1d
0.067,1397726631,c3.2xlarge,Linux/UNIX,us-east-1d
0.0671,1397726085,c3.2xlarge,Linux/UNIX,us-east-1d
0.0677,1397725799,c3.2xlarge,Linux/UNIX,us-east-1d
0.0678,1397725512,c3.2xlarge,Linux/UNIX,us-east-1d
0.0675,1397725217,c3.2xlarge,Linux/UNIX,us-east-1d
0.0678,1397724930,c3.2xlarge,Linux/UNIX,us-east-1d
0.0677,1397724636,c3.2xlarge,Linux/UNIX,us-east-1d
0.067,1397724344,c3.2xlarge,Linux/UNIX,us-east-1d
0.0667,1397723787,c3.2xlarge,Linux/UNIX,us-east-1d
0.0675,1397723198,c3.2xlarge,Linux/UNIX,us-east-1d
0.0659,1397722909,c3.2xlarge,Linux/UNIX,us-east-1d
0.0647,1397722614,c3.2xlarge,Linux/UNIX,us-east-1d
0.0642,1397722040,c3.2xlarge,Linux/UNIX,us-east-1d
0.0641,1397706711,c3.2xlarge,Linux/UNIX,us-east-1d
0.0642,1397706433,c3.2xlarge,Linux/UNIX,us-east-1d
0.0641,1397704128,c3.2xlarge,Linux/UNIX,us-east-1d
0.0642,1397703550,c3.2xlarge,Linux/UNIX,us-east-1d
0.0641,1397701222,c3.2xlarge,Linux/UNIX,us-east-1d
0.0642,1397697885,c3.2xlarge,Linux/UNIX,us-east-1d
0.0643,1397694789,c3.2xlarge,Linux/UNIX,us-east-1d
0.0644,1397694491,c3.2xlarge,Linux/UNIX,us-east-1d
0.0643,1397686626,c3.2xlarge,Linux/UNIX,us-east-1d
0.0644,1397686305,c3.2xlarge,Linux/UNIX,us-east-1d
0.0643,1397685387,c3.2xlarge,Linux/UNIX,us-east-1d
0.0648,1397685087,c3.2xlarge,Linux/UNIX,us-east-1d
0.0649,1397684786,c3.2xlarge,Linux/UNIX,us-east-1d
0.0643,1397684462,c3.2xlarge,Linux/UNIX,us-east-1d
0.0646,1397684163,c3.2xlarge,Linux/UNIX,us-east-1d
0.1,1397680767,c3.2xlarge,Linux/UNIX,us-east-1d
0.0743,1397680464,c3.2xlarge,Linux/UNIX,us-east-1d
0.0687,1397680150,c3.2xlarge,Linux/UNIX,us-east-1d
0.0657,1397679838,c3.2xlarge,Linux/UNIX,us-east-1d
0.0647,1397678913,c3.2xlarge,Linux/UNIX,us-east-1d
0.0644,1397678009,c3.2xlarge,Linux/UNIX,us-east-1d
0.0645,1397676210,c3.2xlarge,Linux/UNIX,us-east-1d
0.0644,1397671584,c3.2xlarge,Linux/UNIX,us-east-1d
0.0643,1397666311,c3.2xlarge,Linux/UNIX,us-east-1d
0.0642,1397661237,c3.2xlarge,Linux/UNIX,us-east-1d
0.0643,1397660288,c3.2xlarge,Linux/UNIX,us-east-1d
0.0642,1397650042,c3.2xlarge,Linux/UNIX,us-east-1d
0.0644,1397649433,c3.2xlarge,Linux/UNIX,us-east-1d
0.0645,1397649143,c3.2xlarge,Linux/UNIX,us-east-1d
0.0646,1397647960,c3.2xlarge,Linux/UNIX,us-east-1d
0.0645,1397647360,c3.2xlarge,Linux/UNIX,us-east-1d
0.0646,1397646779,c3.2xlarge,Linux/UNIX,us-east-1d
0.0645,1397646483,c3.2xlarge,Linux/UNIX,us-east-1d
0.0646,1397645277,c3.2xlarge,Linux/UNIX,us-east-1d
0.0645,1397632679,c3.2xlarge,Linux/UNIX,us-east-1d
0.0644,1397630586,c3.2xlarge,Linux/UNIX,us-east-1d
0.0646,1397629393,c3.2xlarge,Linux/UNIX,us-east-1d
0.0647,1397625911,c3.2xlarge,Linux/UNIX,us-east-1d
0.0646,1397608361,c3.2xlarge,Linux/UNIX,us-east-1d
0.0647,1397604322,c3.2xlarge,Linux/UNIX,us-east-1d
0.0648,1397604017,c3.2xlarge,Linux/UNIX,us-east-1d
0.0647,1397601225,c3.2xlarge,Linux/UNIX,us-east-1d
0.0649,1397600918,c3.2xlarge,Linux/UNIX,us-east-1d
0.065,1397600605,c3.2xlarge,Linux/UNIX,us-east-1d
0.0651,1397599065,c3.2xlarge,Linux/UNIX,us-east-1d
0.0652,1397598440,c3.2xlarge,Linux/UNIX,us-east-1d
0.0651,1397598114,c3.2xlarge,Linux/UNIX,us-east-1d
0.0652,1397597806,c3.2xlarge,Linux/UNIX,us-east-1d
0.0651,1397597194,c3.2xlarge,Linux/UNIX,us-east-1d
0.0652,1397594689,c3.2xlarge,Linux/UNIX,us-east-1d
0.0656,1397594389,c3.2xlarge,Linux/UNIX,us-east-1d
0.0657,1397594079,c3.2xlarge,Linux/UNIX,us-east-1d
0.0659,1397593768,c3.2xlarge,Linux/UNIX,us-east-1d
0.0657,1397593160,c3.2xlarge,Linux/UNIX,us-east-1d
0.0659,1397592222,c3.2xlarge,Linux/UNIX,us-east-1d
0.0658,1397591914,c3.2xlarge,Linux/UNIX,us-east-1d
0.0659,1397591619,c3.2xlarge,Linux/UNIX,us-east-1d
0.0657,1397590998,c3.2xlarge,Linux/UNIX,us-east-1d
0.0653,1397590698,c3.2xlarge,Linux/UNIX,us-east-1d
0.1222,1397590379,c3.2xlarge,Linux/UNIX,us-east-1d
