VMID,Duration,Timestamp,Price
223,362537,1393517524,2.0
224,413,1393527968,0.6
225,351680,1393528381,0.601
226,567,1393542903,0.6
227,187,1393543283,0.1752
228,336591,1393543470,0.601
229,340,1393547350,0.1412
230,168,1393547522,0.1385
231,55546,1393547690,0.1505
232,169,1393547861,0.1412
233,55206,1393548030,0.1505
234,339,1393548200,0.1412
235,170,1393548369,0.1385
236,169,1393548539,0.1449
237,54528,1393548708,0.1505
238,53768,1393548875,0.1449
239,5885,1393549045,0.1298
240,179,1393549216,0.1284
241,5535,1393549395,0.129
242,1892,1393549738,0.1284
243,1550,1393549906,0.1282
244,174,1393551456,0.1283
245,1908,1393551630,0.1286
246,877,1393551971,0.1285
247,690,1393552848,0.1286
248,517,1393553021,0.1285
249,171,1393553367,0.1284
250,871,1393553538,0.1287
251,698,1393553711,0.1285
252,521,1393554409,0.129
253,347,1393554583,0.1285
254,177,1393554930,0.1302
255,525,1393555107,0.1306
256,350,1393555282,0.1302
257,9172,1393555632,0.1309
258,347,1393555808,0.1289
259,1414,1393556155,0.1291
260,882,1393556687,0.129
261,174,1393556862,0.1288
262,533,1393557036,0.1289
263,174,1393557214,0.1288
264,181,1393557388,0.1289
265,2240,1393557569,0.1302
266,171,1393557741,0.1301
267,1897,1393557912,0.1302
268,172,1393558079,0.1295
269,1558,1393558251,0.1297
270,1378,1393558431,0.1296
271,347,1393558602,0.1295
272,860,1393558949,0.1296
273,518,1393559291,0.1295
274,349,1393559460,0.1294
275,4995,1393559809,0.1305
276,2240,1393560156,0.1296
277,171,1393560331,0.1293
278,1894,1393560502,0.1294
279,1546,1393560850,0.1293
280,173,1393561021,0.1292
281,1202,1393561194,0.1293
282,169,1393561365,0.1291
283,862,1393561534,0.1292
284,690,1393561706,0.129
285,340,1393562056,0.1289
286,1194,1393562396,0.1297
287,686,1393562565,0.1294
288,342,1393562739,0.1287
289,170,1393563081,0.1292
290,170,1393563251,0.1296
291,169,1393563421,0.1297
292,172,1393563590,0.1298
293,1042,1393563762,0.1305
294,171,1393563933,0.1296
295,176,1393564104,0.1298
296,349,1393564280,0.1303
297,175,1393564629,0.1304
298,345,1393564804,0.1336
299,174,1393564975,0.1329
300,175,1393565149,0.134
301,859,1393565324,0.1355
302,339,1393565669,0.135
303,169,1393565839,0.134
304,175,1393566008,0.1354
305,1039,1393566183,0.1385
306,178,1393566353,0.1332
307,175,1393566531,0.1336
308,173,1393566706,0.135
309,172,1393566879,0.1356
310,171,1393567051,0.138
311,35223,1393567222,0.1391
312,173,1393567399,0.138
313,34873,1393567572,0.1391
314,34699,1393567746,0.135
315,174,1393567921,0.134
316,34350,1393568095,0.1345
317,20494,1393568439,0.1336
318,19972,1393568961,0.1323
319,19800,1393569133,0.132
320,172,1393569307,0.1316
321,19454,1393569479,0.132
322,19281,1393569652,0.1316
323,15955,1393570003,0.1312
324,15783,1393570175,0.1309
325,12683,1393570346,0.1307
326,12158,1393570693,0.1306
327,11623,1393570864,0.1303
328,522,1393571042,0.1298
329,173,1393571215,0.1296
330,176,1393571388,0.1298
331,2643,1393571564,0.13
