Lifetime,CDF
9.75,0.003952569169960474
9.75,0.007905138339920948
9.75,0.011857707509881422
9.75,0.015810276679841896
9.75,0.019762845849802372
9.75,0.023715415019762844
9.75,0.02766798418972332
9.75,0.03162055335968379
9.75,0.03557312252964427
9.75,0.039525691699604744
9.75,0.043478260869565216
9.75,0.04743083003952569
9.75,0.05138339920948617
9.75,0.05533596837944664
9.75,0.05928853754940711
9.75,0.06324110671936758
9.75,0.06719367588932806
9.75,0.07114624505928854
9.75,0.07509881422924901
9.75,0.07905138339920949
9.75,0.08300395256916997
9.75,0.08695652173913043
9.75,0.09090909090909091
9.75,0.09486166007905138
9.75,0.09881422924901186
9.75,0.10276679841897234
9.75,0.1067193675889328
9.75,0.11067193675889328
9.75,0.11462450592885376
9.75,0.11857707509881422
9.75,0.1225296442687747
9.75,0.12648221343873517
9.75,0.13043478260869565
9.75,0.13438735177865613
9.75,0.1383399209486166
9.75,0.1422924901185771
9.75,0.14624505928853754
9.75,0.15019762845849802
9.75,0.1541501976284585
9.75,0.15810276679841898
9.75,0.16205533596837945
9.75,0.16600790513833993
9.75,0.16996047430830039
9.75,0.17391304347826086
9.75,0.17786561264822134
9.75,0.18181818181818182
9.75,0.1857707509881423
9.75,0.18972332015810275
9.75,0.19367588932806323
9.75,0.1976284584980237
9.75,0.2015810276679842
9.75,0.20553359683794467
9.75,0.20948616600790515
9.75,0.2134387351778656
9.75,0.21739130434782608
9.75,0.22134387351778656
9.75,0.22529644268774704
9.75,0.22924901185770752
9.75,0.233201581027668
9.75,0.23715415019762845
9.75,0.24110671936758893
9.75,0.2450592885375494
9.75,0.2490118577075099
9.75,0.25296442687747034
9.75,0.25691699604743085
9.75,0.2608695652173913
9.75,0.2648221343873518
9.75,0.26877470355731226
9.75,0.2727272727272727
9.75,0.2766798418972332
9.75,0.28063241106719367
9.75,0.2845849802371542
9.75,0.2885375494071146
9.75,0.2924901185770751
9.75,0.2964426877470356
9.75,0.30039525691699603
13.0,0.30434782608695654
13.0,0.308300395256917
13.0,0.31225296442687744
13.0,0.31620553359683795
13.0,0.3201581027667984
13.0,0.3241106719367589
13.0,0.32806324110671936
13.0,0.33201581027667987
13.0,0.3359683794466403
13.0,0.33992094861660077
13.0,0.3438735177865613
13.0,0.34782608695652173
13.0,0.35177865612648224
13.0,0.3557312252964427
13.0,0.35968379446640314
13.0,0.36363636363636365
13.0,0.3675889328063241
13.0,0.3715415019762846
13.0,0.37549407114624506
13.0,0.3794466403162055
13.0,0.383399209486166
13.0,0.38735177865612647
13.0,0.391304347826087
13.0,0.3952569169960474
13.0,0.39920948616600793
19.5,0.4031620553359684
19.5,0.40711462450592883
19.5,0.41106719367588934
19.5,0.4150197628458498
19.5,0.4189723320158103
19.5,0.42292490118577075
19.5,0.4268774703557312
19.5,0.4308300395256917
19.5,0.43478260869565216
19.5,0.43873517786561267
19.5,0.4426877470355731
19.5,0.44664031620553357
19.5,0.4505928853754941
19.5,0.45454545454545453
19.5,0.45849802371541504
19.5,0.4624505928853755
19.5,0.466403162055336
19.5,0.47035573122529645
19.5,0.4743083003952569
19.5,0.4782608695652174
19.5,0.48221343873517786
19.5,0.48616600790513836
19.5,0.4901185770750988
19.5,0.49407114624505927
19.5,0.4980237154150198
19.5,0.5019762845849802
19.5,0.5059288537549407
19.5,0.5098814229249012
22.75,0.5138339920948617
22.75,0.5177865612648221
22.75,0.5217391304347826
22.75,0.525691699604743
22.75,0.5296442687747036
22.75,0.5335968379446641
22.75,0.5375494071146245
22.75,0.541501976284585
22.75,0.5454545454545454
22.75,0.549407114624506
22.75,0.5533596837944664
22.75,0.5573122529644269
22.75,0.5612648221343873
22.75,0.5652173913043478
22.75,0.5691699604743083
22.75,0.5731225296442688
22.75,0.5770750988142292
22.75,0.5810276679841897
22.75,0.5849802371541502
29.25,0.5889328063241107
29.25,0.5928853754940712
29.25,0.5968379446640316
29.25,0.6007905138339921
29.25,0.6047430830039525
29.25,0.6086956521739131
29.25,0.6126482213438735
29.25,0.616600790513834
29.25,0.6205533596837944
29.25,0.6245059288537549
29.25,0.6284584980237155
29.25,0.6324110671936759
32.5,0.6363636363636364
32.5,0.6403162055335968
32.5,0.6442687747035574
32.5,0.6482213438735178
32.5,0.6521739130434783
32.5,0.6561264822134387
32.5,0.6600790513833992
32.5,0.6640316205533597
32.5,0.6679841897233202
32.5,0.6719367588932806
32.5,0.6758893280632411
32.5,0.6798418972332015
39.0,0.6837944664031621
39.0,0.6877470355731226
42.25,0.691699604743083
42.25,0.6956521739130435
42.25,0.6996047430830039
42.25,0.7035573122529645
42.25,0.7075098814229249
42.25,0.7114624505928854
42.25,0.7154150197628458
42.25,0.7193675889328063
42.25,0.7233201581027668
42.25,0.7272727272727273
42.25,0.7312252964426877
42.25,0.7351778656126482
42.25,0.7391304347826086
42.25,0.7430830039525692
42.25,0.7470355731225297
42.25,0.7509881422924901
42.25,0.7549407114624506
42.25,0.758893280632411
42.25,0.7628458498023716
42.25,0.766798418972332
42.25,0.7707509881422925
42.25,0.7747035573122529
42.25,0.7786561264822134
45.5,0.782608695652174
52.0,0.7865612648221344
52.0,0.7905138339920948
52.0,0.7944664031620553
52.0,0.7984189723320159
52.0,0.8023715415019763
52.0,0.8063241106719368
61.75,0.8102766798418972
61.75,0.8142292490118577
61.75,0.8181818181818182
61.75,0.8221343873517787
61.75,0.8260869565217391
61.75,0.8300395256916996
61.75,0.83399209486166
65.0,0.8379446640316206
65.0,0.841897233201581
65.0,0.8458498023715415
65.0,0.849802371541502
71.5,0.8537549407114624
71.5,0.857707509881423
71.5,0.8616600790513834
74.75,0.8656126482213439
74.75,0.8695652173913043
74.75,0.8735177865612648
81.25,0.8774703557312253
84.5,0.8814229249011858
84.5,0.8853754940711462
84.5,0.8893280632411067
84.5,0.8932806324110671
91.0,0.8972332015810277
94.25,0.9011857707509882
94.25,0.9051383399209486
94.25,0.9090909090909091
94.25,0.9130434782608695
97.5,0.9169960474308301
104.0,0.9209486166007905
104.0,0.924901185770751
117.0,0.9288537549407114
126.75,0.932806324110672
126.75,0.9367588932806324
146.25,0.9407114624505929
159.25,0.9446640316205533
159.25,0.9486166007905138
165.75,0.9525691699604744
178.75,0.9565217391304348
191.75,0.9604743083003953
191.75,0.9644268774703557
201.5,0.9683794466403162
221.0,0.9723320158102767
243.75,0.9762845849802372
282.75,0.9802371541501976
315.25,0.9841897233201581
315.25,0.9881422924901185
357.5,0.9920948616600791
419.25,0.9960474308300395
484.25,1.0
